Jantina,Status,Negeri,Salary,House,Years,Housesize,kitchensize,Pecah_dinding,flooring,flooring work,flooring_material,siling,Siling_material,Kabinet Dapur,Design_Cabinet,Jenis_Cabinet,saizbaseunit(ft),saizwallunit(ft),Saiztinggibaseunit(ft),Saiztinggiwallunit (ft),saiztall,Buitin_cabinet,materia_pintukabinet,material_handle,countertop,Materialcountertop,backsplash_wall ,Backplash_wallwork,Material_backsplash,Plumbing,sinki,Elektrik,Wiring_surface,wiring_conceal,Kerja_mengecat,Kos_upah,Kos_keseluruhan
Perempuan,Kahwin,Perak,B40 ( < RM 4360 ),Apartmen,20,2000,230,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,L inear shape,Base unit;wall unit,15,10,3,2.5,0,Stove,MDF Board Panel,Handle Aluminium Built-in,Ya,Konkrit dan Tiles,Ya,Memecahkan jubin lama di dinding,Cat dinding/Wallpaper,Ya,Sinki Berkembar,Ya,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,7000,9000
Perempuan,Kahwin,Perak,B40 ( < RM 4360 ),Apartmen,20,2354,300,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,L inear shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",13,10,3,4,2,Oven;Microwave;Stove,MDF Board Panel,Tictac / Tekan Untuk Buka,Ya,Konkrit dan Tiles,Ya,Memecahkan jubin lama di dinding,Cat dinding/Wallpaper,Ya,Sinki Berkembar,Ya,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,7432,9030
Perempuan,Kahwin,Perak,"M40 ( RM4,360 - RM 9,619 )",Apartmen,20,3214,400,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,L inear shape,Base unit;wall unit,13,10,3,2.5,0,Stove,MDF Board Panel,Tictac / Tekan Untuk Buka,Ya,Konkrit dan Tiles,Ya,Memecahkan jubin lama di dinding,Cat dinding/Wallpaper,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,7999,9213
Perempuan,Bujang,Perak,"M40 ( RM4,360 - RM 9,619 )",Apartmen,20,2098,300,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,L inear shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",13,10,3,4,2,Fridge;Oven;Microwave;Stove,MDF Board Panel,Handle Knob,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,8000,10776
Perempuan,Bujang,Perak,B40 ( < RM 4360 ),Apartmen,10,2311,200,Ya,Ya,Tiada,Tiada,Tidak,Tidak,Tidak,L inear shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",15,10,3,4,2,Fridge;Oven;Microwave;Stove,MDF Board Panel,Handle Knob,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,8000,10333
Perempuan,Kahwin,Perak,"M40 ( RM4,360 - RM 9,619 )",Apartmen,30,2341,233,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,L inear shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,9,3,4,2,Fridge;Oven;Microwave;Stove,MDF Board Panel,Handle Potong 45 Degree,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,6400,12000
Perempuan,Bercerai,Perak,"T20 ( > RM 9,619 )",Apartmen,20,2311,211,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,L inear shape,Base unit;wall unit,13,9,3,2.5,2,Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Hidden,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,6700,9000
Perempuan,Kahwin,Kedah,B40 ( < RM 4360 ),Apartmen,20,2000,170,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,single Wall shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,2.5,2,Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Potong 45 Degree,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,7600,9000
Perempuan,Bujang,Kedah,"M40 ( RM4,360 - RM 9,619 )",Apartmen,20,2300,251,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,U- shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,9,3,2.5,2,Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Knob,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Tunggal,Ya,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,8000,10000
Perempuan,Bujang,Kedah,"M40 ( RM4,360 - RM 9,619 )",Apartmen,10,2076,300,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,U- shape,Base unit;wall unit,13,10,3,2.5,2,Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Tictac / Tekan Untuk Buka,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Tunggal,Tidak,Pendawaian soket plug 13A;Pendawaian ekzos fan,Tiada,Tidak,7600,9002
