Jantina,Status,Negeri,Salary,House,Years,Housesize,kitchensize,Pecah_dinding,flooring,flooring work,flooring_material,siling,Siling_material,Kabinet Dapur,Design_Cabinet,Jenis_Cabinet,saizbaseunit(ft),saizwallunit(ft),Saiztinggibaseunit(ft),Saiztinggiwallunit (ft),saiz tall cabinet (ft),Buitin_cabinet,materia_pintukabinet,material_handle,countertop,Materialcountertop,backsplash_wall ,Backplash_wallwork,Material_backsplash,Plumbing,sinki,Elektrik,Wiring_surface,wiring_conceal,Kerja_mengecat,Kos_upah,Kos_keseluruhan
Perempuan,Kahwin,Terengganu,B40 ( < RM 4360 ),Teres,10,1065,400,Tidak,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Marmar atau Granit (Natural Stones),Tidak,Tidak,Ya,U- shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Fridge;Oven;Microwave;Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Hidden,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian soket plug 13A,Tiada,Ya,9000,13000
Perempuan,Kahwin,Kedah,B40 ( < RM 4360 ),Teres,10,2341,800,Ya,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,L �??shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",9,12,3,4,2,Oven;Microwave;Stove,Melamine,Handle Aluminium Built-in,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian soket plug 13A,Ya,4000,8000
Perempuan,Kahwin,Wilayah Persekutuan,"M40 ( RM4,360 - RM 9,619 )",Kondominium,5,800,100,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,Linear shape (galley),Base unit;wall unit,6,6,3,4,0,Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Knob,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding,Tiles,Ya,Sinki Tunggal,Tidak,Tiada,Tiada,Tidak,1260,9900
Perempuan,Bujang,Pahang,B40 ( < RM 4360 ),Kondominium,5,750,80,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Tidak,L �??shape,Base unit;wall unit,6,6,3,4,0,Stove,4G Glass Door,Handle Hidden,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Tunggal,Ya,Pendawaian soket plug 13A,Tiada,Tidak,2000,7700
Perempuan,Bujang,Wilayah Persekutuan,B40 ( < RM 4360 ),Kondominium,20,900,123,Tidak,Ya,Memasang lantai baru,Jubin Kaca,Tidak,Tidak,Ya,Linear shape (galley),"Base unit;wall unit;Tall unit(Oven,Microwave)",7,7,3,4,2,Microwave;Stove,4G Glass Door,Handle Potong 45 Degree,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Cat dinding/Wallpaper,Ya,Sinki Tunggal,Ya,Tiada,Pendawaian soket plug 13A,Ya,3000,8000
Perempuan,Bujang,Perak,"M40 ( RM4,360 - RM 9,619 )",Kondominium,20,700,135,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Marmar atau Granit (Natural Stones),Ya,Siling gantung,Ya,U- shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",7,7,3,4,2,Fridge;Stove,MDF Board Panel,Tic �?? tac / Tekan Untuk Buka,Ya,Kompacplus (Jenama Table Top),Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Tunggal,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,7800,16000
Lelaki,Kahwin,Perak,"M40 ( RM4,360 - RM 9,619 )",Kondominium,20,2096,300,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Vinyl,Ya,Siling gantung,Ya,single Wall shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,9,3,4,2,Fridge;Oven;Microwave;Stove,MDF Board Panel,Handle Knob,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Tunggal,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Tidak,10000,17000
Perempuan,Bujang,Wilayah Persekutuan,"M40 ( RM4,360 - RM 9,619 )",Kondominium,5,700,100,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,single Wall shape,Base unit;wall unit,6,6,3,4,0,Stove,Melamine,Handle Knob,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Tunggal,Tidak,Tiada,Tiada,Tidak,1260,7680
Perempuan,Kahwin,Wilayah Persekutuan,"M40 ( RM4,360 - RM 9,619 )",Kondominium,10,758,86,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,single Wall shape,Base unit;wall unit,6,6,3,4,0,Stove,Melamine,Handle Knob,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Tunggal,Tidak,Tiada,Tiada,Ya,2000,8300
Perempuan,Bujang,Wilayah Persekutuan,"T20 ( > RM 9,619 )",Kondominium,20,790,125,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,single Wall shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",7,7,3,4,2,Microwave;Stove,MDF Board Panel,Handle Aluminium Built-in,Ya,"Quartz, Granite & Marble ( Stone)",Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Tunggal,Ya,Pendawaian soket plug 13A,Tiada,Tidak,3800,7800
Perempuan,Kahwin,Pahang,"M40 ( RM4,360 - RM 9,619 )",Kondominium,20,748,117,Tidak,Tidak,Tiada,Tiada,Tidak,Tidak,Ya,single Wall shape,Base unit;wall unit,6,6,3,4,0,Stove,Solid Plywood c/w HPL Laminated (Blockboard),Handle Hidden,Ya,Wood Top,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Tiles,Ya,Sinki Tunggal,Tidak,Tiada,Tiada,Ya,3700,7500
Lelaki,Kahwin,Kedah,"M40 ( RM4,360 - RM 9,619 )",Kondominium,30,3400,800,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Parquet,Ya,Siling kapur/siling plaster,Ya,Island,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Fridge;Oven;Microwave;Stove,MDF Board Panel,Tic �?? tac / Tekan Untuk Buka,Ya,Konkrit dan Tiles,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,12000,19000
Perempuan,Kahwin,Perlis,"T20 ( > RM 9,619 )",Semi D,20,3200,400,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Mozek seramik atau porselin,Ya,Siling composite,Ya,L �??shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",12,12,3,4,2,Fridge;Oven;Microwave;Stove,3G Glass Door,Handle Potong 45 Degree,Ya,Solid Surface,Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kayu,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A;Pendawaian ekzos fan,Ya,10000,15000
Perempuan,Kahwin,Selangor,"T20 ( > RM 9,619 )",Semi D,20,2500,300,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Laminate,Ya,Siling PVC,Ya,U- shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Fridge;Oven;Microwave;Stove,4G Glass Door,Handle Potong 45 Degree,Ya,Kompacplus (Jenama Table Top),Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,"Quartz, Granite & Marble (Stone)",Ya,Sinki Berkembar,Ya,Pendawaian lampu;Pendawaian kipas;Pendawaian soket plug 13A,Tiada,Ya,11000,14000
Perempuan,Bujang,Pulau Pinang,"M40 ( RM4,360 - RM 9,619 )",Semi D,10,2765,200,Ya,Ya,Memasang lantai baru;Memecahkan lantai lama,Jubin Mozek seramik atau porselin,Ya,Siling composite,Ya,U- shape,"Base unit;wall unit;Tall unit(Oven,Microwave)",10,10,3,4,2,Fridge;Oven;Microwave;Stove,Solid Wood,Handle Potong 45 Degree,Ya,Kompacplus (Jenama Table Top),Ya,Memasang lantai di dinding;Memecahkan jubin lama di dinding,Kaca,Ya,Sinki Berkembar,Ya,Tiada,Pendawaian lampu;Pendawaian soket plug 13A,Ya,10000,15000
